,Country,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
305,FI,Muhos,64.808,25.9931,279.1,98,1.19,100,1636056393
306,RU,Pangody,65.85,74.4859,269.47,91,8.45,55,1636056394
307,RU,Usinsk,65.9939,57.5281,274.26,98,8.47,100,1636056395
308,US,Maryville,35.7565,-83.9705,284.27,84,2.06,90,1636056388
309,PT,Rabo de Peixe,37.8,-25.5833,293.3,95,7.72,40,1636056397
310,US,Iberia,29.9502,-91.7507,290.19,67,4.63,75,1636056397
311,RU,Ostrovnoy,68.0531,39.5131,275.64,81,6.25,100,1636056398
312,AU,Mount Isa,-20.7333,139.5,296.02,64,0.0,3,1636056398
313,AU,Mount Gambier,-37.8333,140.7667,283.1,100,3.6,90,1636056274
314,PE,Tambopata,-12.7333,-69.1833,306.09,55,4.12,20,1636056399
315,VE,Valera,9.3178,-70.6036,298.84,87,0.43,85,1636056400
316,MX,Miraflores,19.2167,-98.8083,294.83,30,2.38,63,1636056400
317,RU,Baykit,61.67,96.37,261.51,90,4.09,100,1636056401
318,GR,Lithakia,37.7167,20.8333,293.48,81,8.89,41,1636056401
319,IN,Dhing,26.4667,92.4667,292.63,77,0.61,16,1636056402
320,NZ,Ngunguru,-35.6167,174.5,288.8,97,6.02,100,1636056402
321,GB,Brae,60.3964,-1.353,283.1,77,8.55,100,1636056403
322,CN,Yuanping,38.7153,112.7575,281.04,56,0.43,3,1636056403
323,NG,Lafiagi,8.8667,5.4167,302.12,56,0.89,36,1636056404
324,RE,Saint-Pierre,-21.3393,55.4781,295.97,80,1.54,90,1636056404
325,US,Danville,36.586,-79.395,282.92,63,1.54,90,1636056405
326,CL,Coyhaique,-45.5752,-72.0662,284.49,58,3.6,75,1636056406
327,RU,Cherskiy,68.75,161.3,252.24,99,2.86,99,1636056406
328,AR,Zárate,-34.0981,-59.0286,303.26,41,4.14,73,1636056407
329,FI,Heinola,61.2056,26.0381,279.2,94,2.34,16,1636056407
330,RU,Volchikha,52.0333,80.3833,262.39,87,4.74,98,1636056407
331,AU,Collie,-33.3667,116.15,282.03,97,0.79,1,1636056408
332,RU,Salym,60.0625,71.4789,270.81,92,4.96,76,1636056408
333,MX,Frontera,26.9333,-101.45,287.22,85,1.34,100,1636056409
334,ET,Bishoftu,8.75,38.9833,286.29,39,2.14,0,1636056410
335,ET,Leku,6.8667,38.45,290.01,55,1.97,70,1636056410
336,ES,Punta Umbría,37.1821,-6.9661,287.72,47,5.78,0,1636056411
337,RU,Zhigansk,66.7697,123.3711,247.79,95,4.45,15,1636056411
338,NC,Poum,-20.2333,164.0167,296.55,68,5.5,88,1636056412
339,AR,Córdoba,-31.4135,-64.1811,291.26,93,3.58,75,1636056201
340,CO,Landázuri,6.2183,-73.8112,298.57,64,1.62,77,1636056413
341,PH,Marawi,7.9986,124.2928,292.4,92,1.77,77,1636056413
342,AR,Rawson,-43.3002,-65.1023,290.98,21,4.95,71,1636056273
343,GA,Omboué,-1.5746,9.2618,298.28,91,2.83,100,1636056414
344,MD,Drochia,48.035,27.8161,287.73,91,4.48,74,1636056414
345,PH,Pundaguitan,6.3711,126.1689,301.47,75,2.7,52,1636056415
346,US,Eureka,40.8021,-124.1637,288.85,86,3.13,100,1636056220
347,AU,Port Keats,-14.25,129.55,302.08,78,2.73,86,1636056416
348,MX,Mitla,16.9167,-96.4,295.75,49,2.08,94,1636056416
349,US,Cumberland,35.0502,-78.8664,282.22,90,4.12,90,1636056417
350,RU,Aykhal,66.0,111.5,251.71,96,10.51,100,1636056417
351,AR,Resistencia,-27.4606,-58.9839,308.14,46,4.12,40,1636056336
352,FI,Hamina,60.5697,27.1979,279.75,91,5.35,82,1636056418
